1;2127;625;2025-01-29;2025-02-13;retrasado;5000
2;1111;3369;2025-04-07;2025-05-07;devuelto;5000
3;194;2832;2025-02-06;2025-03-08;devuelto;5000
4;1926;2057;2025-02-09;2025-03-11;devuelto;5000
5;2876;484;2025-03-26;2025-04-10;activo;5000
6;1351;1630;2025-03-25;2025-04-09;devuelto;5000
7;787;1449;2025-03-09;2025-03-24;activo;5000
8;1766;3346;2025-03-17;2025-04-16;devuelto;5000
9;2801;2948;2025-02-04;2025-02-19;devuelto;5000
10;1612;1713;2025-03-21;2025-04-05;retrasado;5000
11;349;3306;2024-12-02;2025-01-01;retrasado;5000
12;1496;536;2025-01-08;2025-01-23;devuelto;5000
13;2527;848;2025-02-25;2025-03-12;devuelto;5000
14;76;61;2025-02-14;2025-03-16;devuelto;5000
15;1445;543;2025-02-05;2025-02-20;devuelto;5000
16;2188;3073;2024-11-26;2024-12-11;retrasado;5000
17;1465;2964;2025-04-17;2025-05-02;activo;5000
18;1057;2218;2024-12-14;2024-12-29;devuelto;5000
19;1096;914;2024-12-13;2025-01-12;devuelto;5000
20;630;3149;2024-12-02;2024-12-17;devuelto;5000
21;2093;2244;2025-01-11;2025-01-26;devuelto;5000
22;896;1853;2024-12-18;2025-01-17;devuelto;5000
23;2626;1164;2025-01-27;2025-02-11;devuelto;5000
24;1133;98;2025-01-03;2025-01-18;devuelto;5000
25;1461;1749;2024-12-18;2025-01-02;activo;5000
26;1718;3300;2025-04-04;2025-04-19;retrasado;5000
27;2997;2806;2025-03-27;2025-04-11;retrasado;5000
28;1119;3668;2025-03-02;2025-03-17;devuelto;5000
29;1549;1271;2024-12-07;2024-12-22;activo;5000
30;34;2457;2025-03-26;2025-04-10;devuelto;5000
31;884;2423;2025-01-30;2025-03-01;retrasado;5000
32;1430;2038;2025-02-14;2025-03-16;devuelto;5000
33;1811;1958;2024-12-15;2024-12-30;devuelto;5000
34;1050;2841;2024-12-04;2024-12-19;devuelto;5000
35;1189;2200;2025-01-30;2025-02-14;devuelto;5000
36;584;99;2025-04-12;2025-04-27;activo;5000
37;902;883;2025-02-22;2025-03-09;devuelto;5000
38;1295;3682;2025-02-01;2025-02-16;activo;5000
39;1447;1787;2025-02-05;2025-02-20;devuelto;5000
40;2311;721;2025-03-25;2025-04-09;devuelto;5000
41;284;3656;2024-12-05;2024-12-20;activo;5000
42;2243;1968;2025-03-14;2025-03-29;retrasado;5000
43;882;2571;2025-03-08;2025-04-07;retrasado;5000
44;724;2646;2025-02-20;2025-03-22;devuelto;5000
45;2727;1437;2025-01-16;2025-02-15;devuelto;5000
46;509;2905;2024-12-04;2024-12-19;devuelto;5000
47;2070;93;2025-03-04;2025-04-03;devuelto;5000
48;43;1712;2024-12-12;2024-12-27;activo;5000
49;2234;1709;2024-11-26;2024-12-26;devuelto;5000
50;308;3099;2025-03-19;2025-04-03;devuelto;5000
51;2271;834;2025-01-06;2025-02-05;retrasado;5000
52;136;661;2024-12-21;2025-01-20;devuelto;5000
53;1336;70;2024-12-02;2024-12-17;activo;5000
54;2578;2390;2025-04-01;2025-04-16;activo;5000
55;1426;2082;2025-02-01;2025-02-16;activo;5000
56;247;3334;2025-03-29;2025-04-13;activo;5000
57;84;786;2025-02-15;2025-03-02;devuelto;5000
58;167;972;2025-01-28;2025-02-12;devuelto;5000
59;1404;2579;2025-03-26;2025-04-10;devuelto;5000
60;673;3502;2024-11-24;2024-12-09;devuelto;5000
61;1123;1974;2025-02-23;2025-03-10;activo;5000
62;160;1156;2024-12-18;2025-01-02;devuelto;5000
63;2150;711;2025-04-12;2025-04-27;devuelto;5000
64;2085;104;2025-03-21;2025-04-05;devuelto;5000
65;1948;2719;2025-02-13;2025-02-28;activo;5000
66;1736;1137;2024-11-30;2024-12-15;retrasado;5000
67;383;3560;2024-12-23;2025-01-07;activo;5000
68;1497;256;2025-03-26;2025-04-25;retrasado;5000
69;227;110;2025-03-04;2025-04-03;devuelto;5000
70;602;635;2025-02-20;2025-03-07;activo;5000
71;2212;1889;2024-12-16;2024-12-31;retrasado;5000
72;1188;3216;2024-12-12;2025-01-11;activo;5000
73;2841;3404;2024-12-27;2025-01-11;retrasado;5000
74;2594;328;2025-03-27;2025-04-11;retrasado;5000
75;1956;2519;2025-02-13;2025-02-28;retrasado;5000
76;1821;1382;2025-01-31;2025-02-15;activo;5000
77;2748;1475;2025-01-30;2025-02-14;devuelto;5000
78;2945;3079;2025-02-25;2025-03-27;activo;5000
79;33;2123;2025-03-21;2025-04-20;retrasado;5000
80;743;3524;2025-03-30;2025-04-29;retrasado;5000
81;33;3439;2025-04-07;2025-05-07;devuelto;5000
82;2377;1038;2025-02-14;2025-03-16;devuelto;5000
83;2711;1097;2025-01-19;2025-02-18;devuelto;5000
84;625;1286;2025-04-16;2025-05-01;activo;5000
85;1969;2205;2025-03-07;2025-04-06;devuelto;5000
86;168;3293;2025-04-03;2025-05-03;activo;5000
87;896;1945;2024-11-29;2024-12-29;devuelto;5000
88;2553;1267;2024-11-21;2024-12-06;devuelto;5000
89;1075;2171;2025-02-03;2025-02-18;devuelto;5000
90;393;2491;2025-01-28;2025-02-12;activo;5000
91;147;1420;2024-12-04;2024-12-19;devuelto;5000
92;71;2342;2025-01-28;2025-02-27;devuelto;5000
93;2059;2180;2024-12-09;2024-12-24;activo;5000
94;2957;3364;2024-12-29;2025-01-28;activo;5000
95;1891;1711;2025-03-26;2025-04-25;retrasado;5000
96;1651;2797;2025-02-02;2025-02-17;activo;5000
97;1650;2877;2025-02-22;2025-03-24;devuelto;5000
98;191;3651;2024-11-18;2024-12-03;devuelto;5000
99;1067;1734;2025-02-27;2025-03-14;retrasado;5000
100;165;2598;2025-01-13;2025-01-28;devuelto;5000
101;2054;347;2025-01-14;2025-01-29;devuelto;5000
102;920;34;2025-01-05;2025-01-20;devuelto;5000
103;820;1337;2025-04-15;2025-05-15;retrasado;5000
104;972;1116;2024-11-20;2024-12-05;devuelto;5000
105;1209;2909;2025-01-28;2025-02-12;devuelto;5000
106;2189;1028;2025-03-22;2025-04-21;activo;5000
107;2067;602;2025-03-29;2025-04-28;devuelto;5000
108;1055;691;2024-12-02;2024-12-17;devuelto;5000
109;794;1801;2024-11-21;2024-12-06;activo;5000
110;2448;2929;2025-01-25;2025-02-09;devuelto;5000
111;2209;693;2025-01-31;2025-02-15;devuelto;5000
112;1592;103;2024-11-23;2024-12-23;activo;5000
113;1961;213;2025-02-25;2025-03-27;activo;5000
114;2280;1404;2024-12-07;2024-12-22;retrasado;5000
115;2756;1355;2025-01-25;2025-02-09;activo;5000
116;1436;1753;2025-01-16;2025-01-31;devuelto;5000
117;1370;2811;2025-02-13;2025-02-28;activo;5000
118;1394;841;2025-03-01;2025-03-16;devuelto;5000
119;2477;1626;2025-03-30;2025-04-14;activo;5000
120;621;2285;2025-01-30;2025-03-01;devuelto;5000
121;2771;1073;2024-11-24;2024-12-09;devuelto;5000
122;1273;2430;2025-03-11;2025-03-26;devuelto;5000
123;1162;3249;2024-11-21;2024-12-21;retrasado;5000
124;1523;2353;2025-04-01;2025-05-01;devuelto;5000
125;2665;777;2025-01-18;2025-02-02;activo;5000
126;1760;1399;2025-04-06;2025-05-06;activo;5000
127;2841;441;2025-03-30;2025-04-14;devuelto;5000
128;344;2473;2025-01-22;2025-02-21;devuelto;5000
129;975;1409;2025-02-13;2025-02-28;activo;5000
130;1977;734;2024-11-24;2024-12-09;devuelto;5000
131;2975;277;2024-11-27;2024-12-12;activo;5000
132;1237;1471;2025-01-30;2025-03-01;devuelto;5000
133;772;3378;2025-03-10;2025-03-25;devuelto;5000
134;2831;3622;2025-02-07;2025-02-22;devuelto;5000
135;120;3640;2025-01-30;2025-02-14;devuelto;5000
136;2002;235;2024-12-29;2025-01-13;devuelto;5000
137;473;3257;2025-03-07;2025-03-22;activo;5000
138;2498;1059;2025-02-06;2025-03-08;devuelto;5000
139;1099;2424;2025-01-27;2025-02-26;devuelto;5000
140;674;133;2025-01-26;2025-02-25;devuelto;5000
141;291;783;2025-03-25;2025-04-24;devuelto;5000
142;2733;1124;2025-03-15;2025-03-30;devuelto;5000
143;1802;1790;2025-03-22;2025-04-06;devuelto;5000
144;2171;1601;2024-12-09;2025-01-08;devuelto;5000
145;2987;2976;2024-12-12;2024-12-27;retrasado;5000
146;2627;2862;2025-04-13;2025-04-28;devuelto;5000
147;1520;2949;2025-03-30;2025-04-29;activo;5000
148;2058;3680;2025-01-07;2025-01-22;activo;5000
149;2232;2152;2025-03-28;2025-04-12;activo;5000
150;1378;1877;2025-02-22;2025-03-09;retrasado;5000
151;2497;1516;2024-12-06;2024-12-21;devuelto;5000
152;156;2671;2025-04-07;2025-04-22;retrasado;5000
153;1846;374;2025-04-09;2025-05-09;activo;5000
154;2087;1356;2025-02-18;2025-03-05;devuelto;5000
155;623;597;2024-11-19;2024-12-04;activo;5000
156;1034;2514;2024-12-06;2024-12-21;devuelto;5000
157;2089;269;2025-01-09;2025-01-24;retrasado;5000
158;1955;3032;2025-01-14;2025-01-29;retrasado;5000
159;2633;3559;2025-02-26;2025-03-28;devuelto;5000
160;1964;1625;2024-12-15;2025-01-14;activo;5000
161;1445;1658;2024-12-03;2024-12-18;devuelto;5000
162;2306;203;2025-03-17;2025-04-01;devuelto;5000
163;805;2068;2025-03-23;2025-04-07;devuelto;5000
164;1795;2501;2025-04-11;2025-04-26;devuelto;5000
165;1636;1544;2024-12-30;2025-01-14;devuelto;5000
166;2306;556;2025-01-23;2025-02-07;devuelto;5000
167;1520;1291;2024-12-13;2025-01-12;devuelto;5000
168;2801;3199;2025-01-31;2025-02-15;activo;5000
169;1868;2338;2025-01-21;2025-02-05;activo;5000
170;2135;3341;2025-03-24;2025-04-08;retrasado;5000
171;1342;2101;2024-12-21;2025-01-05;activo;5000
172;1545;1334;2025-03-06;2025-03-21;activo;5000
173;1909;2500;2025-03-06;2025-03-21;activo;5000
174;1144;1673;2024-12-06;2024-12-21;devuelto;5000
175;1698;1731;2025-01-02;2025-02-01;devuelto;5000
176;2885;2786;2024-12-20;2025-01-04;activo;5000
177;944;1789;2025-01-16;2025-02-15;devuelto;5000
178;2574;2313;2025-04-16;2025-05-01;retrasado;5000
179;554;773;2025-03-20;2025-04-19;devuelto;5000
180;1019;3243;2025-03-22;2025-04-21;activo;5000
181;489;2991;2025-02-08;2025-02-23;devuelto;5000
182;2391;723;2025-01-21;2025-02-05;activo;5000
183;2198;1032;2024-11-18;2024-12-03;devuelto;5000
184;344;2232;2025-02-26;2025-03-28;devuelto;5000
185;1541;3493;2025-01-31;2025-02-15;devuelto;5000
186;474;189;2025-01-14;2025-02-13;devuelto;5000
187;1820;689;2024-12-21;2025-01-20;devuelto;5000
188;2072;3704;2025-04-01;2025-04-16;activo;5000
189;419;3409;2025-03-14;2025-04-13;devuelto;5000
190;913;1543;2025-02-10;2025-02-25;activo;5000
191;2690;2591;2024-12-31;2025-01-15;devuelto;5000
192;2578;432;2025-03-23;2025-04-07;devuelto;5000
193;39;193;2025-02-27;2025-03-14;retrasado;5000
194;2667;1307;2024-12-06;2024-12-21;activo;5000
195;1663;1436;2024-12-30;2025-01-14;devuelto;5000
196;1619;88;2025-03-29;2025-04-13;devuelto;5000
197;2224;2657;2025-03-21;2025-04-20;activo;5000
198;404;844;2025-04-13;2025-05-13;retrasado;5000
199;2573;3009;2025-01-19;2025-02-03;devuelto;5000
200;2370;1478;2025-04-12;2025-05-12;activo;5000
201;827;1823;2025-02-21;2025-03-23;devuelto;5000
202;951;3689;2025-03-20;2025-04-04;devuelto;5000
203;1890;3462;2024-12-21;2025-01-05;retrasado;5000
204;2660;3556;2025-01-09;2025-01-24;activo;5000
205;26;429;2024-11-21;2024-12-21;activo;5000
206;1139;42;2024-11-23;2024-12-23;retrasado;5000
207;1733;1456;2025-03-23;2025-04-07;devuelto;5000
