1;1;Prestado;2025-05-07
2;2;Prestado;2025-05-01
3;3;Prestado;2025-04-20
4;4;Prestado;2025-04-24
5;5;Prestado;2025-04-25
6;6;Disponible;2025-05-17
7;7;Prestado;2025-04-27
8;8;Prestado;2025-05-16
9;9;Prestado;2025-05-09
10;10;Disponible;2025-05-16
11;11;Disponible;2025-05-10
12;12;Prestado;2025-04-20
13;13;Reservado;2025-04-24
14;14;Disponible;2025-05-08
15;15;Disponible;2025-04-23
16;16;Prestado;2025-04-24
17;17;Prestado;2025-04-28
18;18;Disponible;2025-04-25
19;19;Prestado;2025-05-04
20;20;Prestado;2025-04-27
21;21;Prestado;2025-05-10
22;22;Prestado;2025-04-18
23;23;Prestado;2025-05-17
24;24;Reservado;2025-04-25
25;25;Prestado;2025-05-10
26;26;Prestado;2025-05-04
27;27;Disponible;2025-05-13
28;28;Prestado;2025-05-09
29;29;Disponible;2025-04-22
30;30;Prestado;2025-04-23
31;31;Prestado;2025-05-08
32;32;Prestado;2025-04-30
33;33;Prestado;2025-05-05
34;34;Disponible;2025-05-15
35;35;Prestado;2025-04-22
36;36;Prestado;2025-05-10
37;37;Prestado;2025-05-15
38;38;Reservado;2025-04-19
39;39;Reservado;2025-05-08
40;40;Disponible;2025-05-10
41;41;Prestado;2025-04-24
42;42;Prestado;2025-04-21
43;43;Prestado;2025-04-22
44;44;Prestado;2025-04-24
45;45;Prestado;2025-05-13
46;46;Prestado;2025-04-24
47;47;Reservado;2025-05-05
48;48;Prestado;2025-05-02
49;49;Prestado;2025-04-20
50;50;Prestado;2025-04-19
51;51;Prestado;2025-05-01
52;52;Prestado;2025-05-13
53;53;Reservado;2025-04-28
54;54;Prestado;2025-05-17
55;55;Prestado;2025-05-13
56;56;Reservado;2025-05-18
57;57;Prestado;2025-04-19
58;58;Prestado;2025-05-07
59;59;Prestado;2025-04-18
60;60;Prestado;2025-05-09
61;61;Prestado;2025-05-18
62;62;Disponible;2025-04-30
63;63;Prestado;2025-04-23
64;64;Reservado;2025-04-23
65;65;Prestado;2025-05-16
66;66;Reservado;2025-05-12
67;67;Prestado;2025-04-29
68;68;Prestado;2025-05-11
69;69;Prestado;2025-04-25
70;70;Prestado;2025-04-30
71;71;Disponible;2025-05-04
72;72;Prestado;2025-05-18
73;73;Prestado;2025-05-05
74;74;Prestado;2025-05-06
75;75;Prestado;2025-05-17
76;76;Prestado;2025-05-04
77;77;Prestado;2025-05-06
78;78;Disponible;2025-05-05
79;79;Prestado;2025-05-12
80;80;Prestado;2025-05-04
81;81;Reservado;2025-05-01
82;82;Prestado;2025-04-26
83;83;Prestado;2025-05-18
84;84;Prestado;2025-04-18
85;85;Prestado;2025-04-29
86;86;Reservado;2025-04-23
87;87;Prestado;2025-05-17
88;88;Prestado;2025-04-26
89;89;Prestado;2025-05-14
90;90;Reservado;2025-05-15
91;91;Prestado;2025-05-13
92;92;Reservado;2025-05-12
93;93;Prestado;2025-05-16
94;94;Prestado;2025-05-09
95;95;Disponible;2025-05-09
96;96;Prestado;2025-05-04
97;97;Prestado;2025-04-27
98;98;Disponible;2025-04-25
99;99;Prestado;2025-05-10
100;100;Prestado;2025-04-29
101;101;Disponible;2025-04-18
102;102;Disponible;2025-05-17
103;103;Reservado;2025-04-25
104;104;Prestado;2025-04-26
105;105;Disponible;2025-05-11
106;106;Prestado;2025-05-07
107;107;Disponible;2025-05-18
108;108;Reservado;2025-05-03
109;109;Prestado;2025-05-06
110;110;Prestado;2025-05-14
111;111;Prestado;2025-05-16
112;112;Prestado;2025-04-30
113;113;Disponible;2025-04-23
114;114;Prestado;2025-04-19
115;115;Prestado;2025-04-27
116;116;Prestado;2025-04-27
117;117;Prestado;2025-05-01
118;118;Reservado;2025-05-15
119;119;Prestado;2025-05-12
120;120;Disponible;2025-05-06
121;121;Prestado;2025-04-27
122;122;Prestado;2025-05-04
123;123;Prestado;2025-05-04
124;124;Disponible;2025-05-03
125;125;Prestado;2025-04-25
126;126;Disponible;2025-04-20
127;127;Reservado;2025-05-07
